SEP Reference Start,SEP Reference End,Event Source Longitude,Event Source Latitude,25 MEV Proton Intensity (MeV s cm^2 sr)^-1,GLE Event Number,GOES >10 MeV (pfu),CME speed (km/s),CDAW CME First Look Time,CDAW CME Speed,CDAW CME Width,CDAW CME Central Position Angle,CDAW CME Mean Position Angle,Flare Xray Start Time Deprecated,Flare Magnitude Deprecated,Flare Class Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Time To Peak,Flare Catalog ID,GOES Xray Satellite,Case,Comments
1971-04-22 12:37:00,1971-04-23 12:37:00,61,18,0.1,,,,,,,,,,,,,,,,,,,,,,,
1971-05-12 02:03:00,1971-05-13 02:03:00,70,12,0.02,,,,,,,,,,,,,,,,,,,,,,,
1971-05-13 17:58:00,1971-05-14 14:26:00,86,11,0.001,,,,,,,,,1971-05-13 17:58:00,0.0001,X1.0,1971-05-13 17:58:00,,,X1.4,0.00014286,,,,,,,
1971-05-14 14:26:00,1971-05-15 14:26:00,-11,4,0.02,,,,,,,,,1971-05-14 14:26:00,0.0001,X1.0,1971-05-14 14:26:00,,,X1.4,0.00014286,,,,,,,
1971-05-16 13:00:00,1971-05-17 13:00:00,125,,0.5,,,,,,,,,,,,,,,,,,,,,,,
1971-06-29 22:38:00,1971-06-30 22:38:00,22,17,0.02,,,,,,,,,,,,,,,,,,,,,,,
1971-09-01 19:30:00,1971-09-02 19:30:00,120,14,10,23,,,,,,,,1971-09-01 19:30:00,3.00E-06,C3.0,1971-09-01 19:30:00,,,C4.2,4.29E-06,,,,,,,
1971-10-03 13:51:00,1971-10-04 13:51:00,-14,14,0.1,,,,,,,,,1971-10-03 13:51:00,0.0001,X1.0,1971-10-03 13:51:00,,,X1.4,0.00014286,,,,,,,
1972-02-22 00:33:00,1972-02-23 00:33:00,2,3,0.01,,,,,,,,,1972-02-22 00:33:00,0.0002,X2.0,1972-02-22 00:33:00,,,X2.8,0.00028571,,,,,,,
1972-03-05 08:16:00,1972-03-06 08:16:00,-43,-7,0.01,,,,,,,,,1972-03-05 08:16:00,0.001,X10.0,1972-03-05 08:16:00,,,X14.2,0.0014286,,,,,,,
1972-03-11 01:30:00,1972-03-12 01:30:00,32,-11,0.001,,,,,,,,,,,,,,,,,,,,,,,
1972-03-28 08:07:00,1972-03-29 08:07:00,,,0.02,,,,,,,,,,,,,,,,,,,,,,,
1972-04-17 22:17:00,1972-04-18 22:17:00,,,1,,,,,,,,,,,,,,,,,,,,,,,
1972-04-26 12:00:00,1972-04-27 12:00:00,,,0.003,,,,,,,,,,,,,,,,,,,,,,,
1972-05-28 13:32:00,1972-05-29 13:32:00,-30,9,1,,,,,,,,,1972-05-28 13:32:00,0.001,X10.0,1972-05-28 13:32:00,,,X14.2,0.0014286,,,,,,,
1972-06-08 12:00:00,1972-06-09 12:00:00,110,,0.5,,,,,,,,,,,,,,,,,,,,,,,
1972-06-15 13:13:00,1972-06-16 13:13:00,0,-14,0.1,,,,,,,,,1972-06-15 13:13:00,0.0001,X1.0,1972-06-15 13:13:00,,,X1.4,0.00014286,,,,,,,
1972-07-19 05:10:00,1972-07-20 05:10:00,140,,0.1,,,,,,,,,,,,,,,,,,,,,,,
1972-08-02 03:55:00,1972-08-02 20:58:00,-34,12,2,,,,,,,,,1972-08-02 03:55:00,0.0004,X4.0,1972-08-02 03:55:00,,,X5.7,0.00057143,,,,,,,
1972-08-02 20:58:00,1972-08-03 20:58:00,-28,14,10,,,,,,,,,1972-08-02 20:58:00,0.0002,X2.0,1972-08-02 20:58:00,,,X2.8,0.00028571,,,,,,,
1972-08-07 15:34:00,1972-08-08 15:34:00,37,14,10,25,,,,,,,,1972-08-07 15:34:00,0.001,X10.0,1972-08-07 15:34:00,,,X14.2,0.0014286,,,,,,,
1972-08-16 02:05:00,1972-08-16 12:45:00,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
1972-08-16 12:45:00,1972-08-17 12:45:00,,,0.1,,,,,,,,,,,,,,,,,,,,,,,
1972-09-06 22:02:00,1972-09-07 22:02:00,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
1972-10-29 17:47:00,1972-10-30 17:47:00,-5,-10,0.01,,,,,,,,,1972-10-29 17:47:00,2.00E-05,M2.0,1972-10-29 17:47:00,,,M2.8,2.86E-05,,,,,,,
1972-11-25 08:30:00,1972-11-26 08:30:00,44,-6,0.002,,,,,,,,,1972-11-25 08:30:00,1.00E-05,M1.0,1972-11-25 08:30:00,,,M1.4,1.43E-05,,,,,,,
1972-11-28 04:03:00,1972-11-29 04:03:00,80,-8,0.002,,,,,,,,,1972-11-28 04:03:00,1.00E-05,M1.0,1972-11-28 04:03:00,,,M1.4,1.43E-05,,,,,,,
1972-12-16 03:49:00,1972-12-17 03:49:00,57,12,0.0007,,,,,,,,,1972-12-16 03:49:00,1.00E-05,M1.0,1972-12-16 03:49:00,,,M1.4,1.43E-05,,,,,,,
1973-03-29 00:00:00,1973-03-30 00:00:00,,,0.002,,,,,,,,,,,,,,,,,,,,,,,
1973-04-12 12:00:00,1973-04-13 12:00:00,,,0.1,,,,,,,,,,,,,,,,,,,,,,,
1973-04-29 21:04:00,1973-04-30 21:04:00,73,14,0.3,26,,,,,,,,1973-04-29 21:04:00,3.00E-05,M3.0,1973-04-29 21:04:00,,,M4.2,4.29E-05,,,,,,,
1973-05-13 20:51:00,1973-05-14 20:51:00,99,,0.0005,,,,,,,,,,,,,,,,,,,,,,,
1973-07-29 13:29:00,1973-07-30 13:29:00,-45,14,0.01,,,,,,,,,1973-07-29 13:29:00,7.00E-05,M7.0,1973-07-29 13:29:00,,,X1.0,0.0001,,,,,,,
1973-09-07 12:12:00,1973-09-08 12:12:00,46,-18,0.3,,,,,,,,,1973-09-07 12:12:00,0.0001,X1.0,1973-09-07 12:12:00,,,X1.4,0.00014286,,,,,,,
1973-09-17 18:00:00,1973-09-18 18:00:00,,,0.0008,,,,,,,,,,,,,,,,,,,,,,,
1973-10-27 18:00:00,1973-10-28 18:00:00,-55,,0.0005,,,,,,,,,,,,,,,,,,,,,,,
1973-11-03 00:34:00,1973-11-04 00:34:00,85,-18,0.08,,,,,,,,,1973-11-03 00:34:00,0.0002,X2.0,1973-11-03 00:34:00,,,X2.8,0.00028571,,,,,,,
1974-01-17 22:00:00,1974-01-18 22:00:00,,,0.0004,,,,,,,,,,,,,,,,,,,,,,,
1974-06-08 16:00:00,1974-06-09 16:00:00,,,0.001,,,,,,,,,,,,,,,,,,,,,,,
1974-07-02 00:00:00,1974-07-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-07-04 13:57:00,1974-07-05 13:57:00,8,-16,0.3,,,,,,,,,1974-07-04 13:57:00,0.0004,X4.0,1974-07-04 13:57:00,,,X5.7,0.00057143,,,,,,,
1974-07-05 21:43:00,1974-07-06 21:43:00,26,-15,0.6,,,,,,,,,1974-07-05 21:43:00,0.0012,X12.0,1974-07-05 21:43:00,,,X17.1,0.0017143,,,,,,,
1974-09-10 21:46:00,1974-09-11 21:46:00,-61,10,0.5,,,,,,,,,1974-09-10 21:46:00,0.0002,X2.0,1974-09-10 21:46:00,,,X2.8,0.00028571,,,,,,,
1974-09-19 22:40:00,1974-09-20 22:40:00,62,9,0.8,,,,,,,,,1974-09-19 22:40:00,0.0002,X2.0,1974-09-19 22:40:00,,,X2.8,0.00028571,,,,,,,
1974-09-23 12:00:00,1974-09-24 12:00:00,90,-91,0.08,,,,,,,,,1974-09-23 12:00:00,2.00E-05,M2.0,1974-09-23 12:00:00,,,M2.8,2.86E-05,,,,,,,
1974-10-11 03:31:00,1974-10-12 03:31:00,-2,12,0.001,,,,,,,,,,,,,,,,,,,,,,,
1974-11-05 15:38:00,1974-11-06 15:38:00,78,-12,0.8,,,,,,,,,1974-11-05 15:38:00,0.0001,X1.0,1974-11-05 15:38:00,,,X1.4,0.00014286,,,,,,,
1974-12-22 16:35:00,1974-12-23 16:35:00,-14,6,0.002,,,,,,,,,1974-12-22 16:35:00,3.00E-06,C3.0,1974-12-22 16:35:00,,,C4.2,4.29E-06,,,,,,,
1974-12-25 19:26:00,1974-12-26 19:26:00,26,4,0.001,,,,,,,,,1974-12-25 19:26:00,8.00E-06,C8.0,1974-12-25 19:26:00,,,M1.1,1.14E-05,,,,,,,
